sentence,entity_1,entity_2,relation_label,entity_1_original,entity_2_original,input_text
"Exploring emotion recognition in patients with mild cognitive impairment and 
Alzheimer's dementia undergoing a rehabilitation program emotion recognition in 
patients with dementia.",Alzheimer's disease,dementia,associated_with,Alzheimer's dementia,dementia,"Exploring emotion recognition in patients with mild cognitive impairment and 
[E1] Alzheimer's [E2] dementia [/E2] [/E1] undergoing a rehabilitation program emotion recognition in 
patients with dementia."
"Exploring emotion recognition in patients with mild cognitive impairment and 
Alzheimer's dementia undergoing a rehabilitation program emotion recognition in 
patients with dementia.",Alzheimer's disease,cognitive impairment,ambiguous,Alzheimer's dementia,cognitive impairment,"Exploring emotion recognition in patients with mild [E2] cognitive impairment [/E2] and 
[E1] Alzheimer's dementia [/E1] undergoing a rehabilitation program emotion recognition in 
patients with dementia."
"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment (MCI) and Alzheimer's dementia (AD) in group 
rehabilitation using facial analysis.",Alzheimer's disease,mci,ambiguous,Alzheimer's dementia,MCI,"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment ([E2] MCI [/E2]) and [E1] Alzheimer's dementia [/E1] (AD) in group 
rehabilitation using facial analysis."
"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment (MCI) and Alzheimer's dementia (AD) in group 
rehabilitation using facial analysis.",Alzheimer's disease,cognitive impairment,ambiguous,Alzheimer's dementia,cognitive impairment,"AIM: This study aimed to explore differences in the emotions of patients with 
mild [E2] cognitive impairment [/E2] (MCI) and [E1] Alzheimer's dementia [/E1] (AD) in group 
rehabilitation using facial analysis."
"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment (MCI) and Alzheimer's dementia (AD) in group 
rehabilitation using facial analysis.",Alzheimer's disease,ad,equivalent,Alzheimer's dementia,AD,"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment (MCI) and [E1] Alzheimer's dementia [/E1] ([E2] AD [/E2]) in group 
rehabilitation using facial analysis."
"Reliability and modeling of digital histological measurements in Alzheimer's 
disease neuropathologic change and Lewy body disease.",Alzheimer's disease,lewy body disease,ambiguous,"Alzheimer's 
disease neuropathologic change",Lewy body disease,"Reliability and modeling of digital histological measurements in [E1] Alzheimer's 
disease neuropathologic change [/E1] and [E2] Lewy body disease [/E2]."
"We calculated regional percentage areas occupied by 
phosphorylated tau (p-Tau, AT8), amyloid-ÃÂ² (AÃÂ², NAB228), and phosphorylated 
ÃÂ±-synuclein (p-ÃÂ±Syn, 81A) pathology in 24 autopsied cases with varying degrees 
of Alzheimer disease neuropathological change and Lewy body disease (LBD) using 
manual and automated immunostaining methods to investigate variability across 
protocols.",Alzheimer's disease,lewy body disease,ambiguous,Alzheimer disease,Lewy body disease,"We calculated regional percentage areas occupied by 
phosphorylated tau (p-Tau, AT8), amyloid-ÃÂ² (AÃÂ², NAB228), and phosphorylated 
ÃÂ±-synuclein (p-ÃÂ±Syn, 81A) pathology in 24 autopsied cases with varying degrees 
of [E1] Alzheimer disease [/E1] neuropathological change and [E2] Lewy body disease [/E2] (LBD) using 
manual and automated immunostaining methods to investigate variability across 
protocols."
"Author information:
(1)Mitchell Center for Alzheimer's Disease and Related Brain Disorders, 
Department of Neurology, University of Texas McGovern Medical School at Houston, 
Houston, TX, USA.
(2)UTHealth Houston Graduate School of Biomedical Sciences, The University of 
Texas MD Anderson Cancer Center, 6767 Bertner Avenue, Houston, TX 77030, USA.",Alzheimer's disease,cancer,unrelated,Alzheimer's Disease and Related Brain Disorders,Cancer,"Author information:
(1)Mitchell Center for [E1] Alzheimer's Disease and Related Brain Disorders [/E1], 
Department of Neurology, University of Texas McGovern Medical School at Houston, 
Houston, TX, USA.
(2)UTHealth Houston Graduate School of Biomedical Sciences, The University of 
Texas MD Anderson [E2] Cancer [/E2] Center, 6767 Bertner Avenue, Houston, TX 77030, USA."
"MethodTen family carers of people with dementia (4 
frontotemporal dementia, 3 Alzheimer's disease, 3 Lewy body dementia, 1 Vascular 
dementia) in Australia participated in focus groups and interviews.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia,"MethodTen family carers of people with [E2] dementia [/E2] (4 
frontotemporal dementia, 3 [E1] Alzheimer's disease [/E1], 3 Lewy body dementia, 1 Vascular 
dementia) in Australia participated in focus groups and interviews."
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,neurodegenerative diseases,associated_with,Alzheimer's disease,neurodegenerative diseases,"The global rise in both metabolic syndrome (MetS) and [E2] neurodegenerative diseases [/E2] 
(NDs), particularly dementia and [E1] Alzheimer's disease [/E1] (AD) poses a growing health 
and socioeconomic burden."
