sentence,entity_1,entity_2,relation_label,entity_1_original,entity_2_original
"Exploring emotion recognition in patients with mild cognitive impairment and 
Alzheimer's dementia undergoing a rehabilitation program emotion recognition in 
patients with dementia.",Alzheimer's disease,dementia,associated_with,Alzheimer's dementia,dementia
"Exploring emotion recognition in patients with mild cognitive impairment and 
Alzheimer's dementia undergoing a rehabilitation program emotion recognition in 
patients with dementia.",Alzheimer's disease,cognitive impairment,ambiguous,Alzheimer's dementia,cognitive impairment
"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment (MCI) and Alzheimer's dementia (AD) in group 
rehabilitation using facial analysis.",Alzheimer's disease,mci,ambiguous,Alzheimer's dementia,MCI
"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment (MCI) and Alzheimer's dementia (AD) in group 
rehabilitation using facial analysis.",Alzheimer's disease,cognitive impairment,ambiguous,Alzheimer's dementia,cognitive impairment
"AIM: This study aimed to explore differences in the emotions of patients with 
mild cognitive impairment (MCI) and Alzheimer's dementia (AD) in group 
rehabilitation using facial analysis.",Alzheimer's disease,ad,equivalent,Alzheimer's dementia,AD
"Reliability and modeling of digital histological measurements in Alzheimer's 
disease neuropathologic change and Lewy body disease.",Alzheimer's disease,lewy body disease,ambiguous,"Alzheimer's 
disease neuropathologic change",Lewy body disease
"We calculated regional percentage areas occupied by 
phosphorylated tau (p-Tau, AT8), amyloid-Î² (AÎ², NAB228), and phosphorylated 
Î±-synuclein (p-Î±Syn, 81A) pathology in 24 autopsied cases with varying degrees 
of Alzheimer disease neuropathological change and Lewy body disease (LBD) using 
manual and automated immunostaining methods to investigate variability across 
protocols.",Alzheimer's disease,lewy body disease,ambiguous,Alzheimer disease,Lewy body disease
"Author information:
(1)Mitchell Center for Alzheimer's Disease and Related Brain Disorders, 
Department of Neurology, University of Texas McGovern Medical School at Houston, 
Houston, TX, USA.
(2)UTHealth Houston Graduate School of Biomedical Sciences, The University of 
Texas MD Anderson Cancer Center, 6767 Bertner Avenue, Houston, TX 77030, USA.",Alzheimer's disease,cancer,unrelated,Alzheimer's Disease and Related Brain Disorders,Cancer
"MethodTen family carers of people with dementia (4 
frontotemporal dementia, 3 Alzheimer's disease, 3 Lewy body dementia, 1 Vascular 
dementia) in Australia participated in focus groups and interviews.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,neurodegenerative diseases,associated_with,Alzheimer's disease,neurodegenerative diseases
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,mets,ambiguous,Alzheimer's disease,MetS
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
